Dataset,Method,Avg Training Accuracy,Avg Testing Accuracy,Training/Test,Rules,Training loops
tictactoe,"('Therm', 'N=', 9)",67.36292428198433,73.95833333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 9)",70.88772845953002,68.75,80/20,10,100
tictactoe,"('Therm', 'N=', 9)",67.49347258485639,65.625,80/20,10,100
tictactoe,"('Therm', 'N=', 9)",64.75195822454307,71.35416666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 9)",66.84073107049609,64.58333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 9)",72.32375979112271,72.39583333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 9)",68.9295039164491,64.58333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 9)",66.71018276762402,71.875,80/20,10,100
tictactoe,"('Therm', 'N=', 10)",68.40731070496084,66.66666666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 10)",69.19060052219321,68.75,80/20,10,100
tictactoe,"('Therm', 'N=', 10)",66.18798955613578,61.97916666666666,80/20,10,100
tictactoe,"('Therm', 'N=', 10)",68.40731070496084,70.3125,80/20,10,100
tictactoe,"('Therm', 'N=', 10)",66.31853785900783,61.97916666666666,80/20,10,100
tictactoe,"('Therm', 'N=', 10)",70.75718015665797,71.35416666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 10)",65.40469973890339,65.625,80/20,10,100
tictactoe,"('Therm', 'N=', 10)",68.27676240208878,59.375,80/20,10,100
tictactoe,"('Therm', 'N=', 10)",69.45169712793734,71.875,80/20,10,100
tictactoe,"('Therm', 'N=', 10)",66.97127937336815,65.10416666666667,80/20,10,100
